,,,,,,,,MSAG  Services,,,,,,,Fund Code,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,,,,
,,,,,,,,,,,,,,,Benefit Package,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,,,,
,,,,,,,,,,,,,,,Mapset,MFS,MSS,MSB,MFM,MFD,MSM,MSD,MSU,MSG,MSC,MSE,MFX,MFC,MFS,MSS,MSB,MFM,MFD,MSM,MSD,MSU,MSG,MSC,MSE,MFX,MFC,,,,
,,,,,,,,,,,,,,,,Covered Services,,,,,,,,,,,,,Pre-Authorization Required,,,,,,,,,,,,,,Claim Form,,
Service Type,Auth Class,Eff Date,Term Date,Rev/HCPCS/CPT,MODIFIER 1 ,MODIFIER 2,MODIFIER 3,Add On Code,MODIFIER 1 ,MODIFIER 2,MODIFIER 3,Service Description,Coverable Dx Category ,Open Dx,Place of Service,"X02/X03

Federally Funded","X02/X03

State Funded","Baltimore Project 

State Funded

","Medicaid 

Federally Funded","Medicare/Medicaid

Federally Funded","Medicaid 

State Funded","Medicare/Medicaid (SLMB and QMB)
State Funded","Uninsured

State Funded","Gambling 

State Funded","Crisis 

State Funded","Emergency Petition
(Uninsured Consumers)
State Funded",X02/X03 Auth Only,"Courtesy Reviews
(Auth Only)
 ","X02/X03

Federally Funded","X02/X03

State Funded","Baltimore Project 

State Funded

","Medicaid 

Federally Funded","Medicare/Medicaid

Federally Funded","Medicaid 

State Funded","Medicare/Medicaid (SLMB and QMB)
State Funded","Uninsured

State Funded","Gambling 

State Funded ","Crisis 

State Funded","Emergency Petition
(Uninsured Consumers)
State Funded",X02/X03 Auth Only,"Courtesy Reviews
(Auth Only)

 ",Send Auth Request to:,UB04,HCFA 1500,
Inpatient Services,IPF,,,"0101, 0114, 0124, 0134, 0154, 0169",,,,,,,,HSCRC,MH,,"21, 51, 56, 99",Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,Yes,Yes,Carelon BH,X,,
,IPF,,,"0101, 0114, 0124, 0134, 0154, 0169",,,,,,,,HSCRC,SUD,,"21, 51, 55, 56, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
"Residential Treatment
Covered for ages 0-20",RTC,,,0100,,,,,,,,Residential Treatment Center (for children under age 21),MH,,"21, 51, 56",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
"Residential ICF-A 
Covered for ages 0-20",RTC,,,0100,,,,,,,,Residential ICF-A (for children under age 21),SUD,,55,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
Residential IMD Services,RTC,,,RESRB,,,,,,,,Room and Board - Residential Services,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,GA,,,,,,,Room and Board - Residential Services,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,RESRB,HG,,,,,,,Room and Board - Residential Services,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,HG,GA,,,,,,Room and Board - Residential Services ,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7310,,,,,,,,Level 3.1 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7310,GT,,,,,,,Level 3.1 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7310,HG,,,,,,,Level 3.1 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7310,GA,,,,,,,Level 3.1 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7310,HG,GA,,,,,,Level 3.1 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,,,,,,,,Level 3.3 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,GT,,,,,,,Level 3.3 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,UB,,,,,,,Level 3.3 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,GA,,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,GA,GT,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,GA,UB,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,HG,,,,,,,Level 3.3 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,HG,GA,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7350,,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,GT,,,,,,,Level 3.5 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,UB,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,GA,,,,,,,Level 3.5 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7350,HG,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,HG,GA,,,,,,Level 3.5 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7370,,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,GT,,,,,,,Level 3.7 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,UB,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,HG,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,SC,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,GT,,,,,,,Level 3.7WM Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,UB,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
