Variable,Label,COMMUNITY_NA,COMMUNITY_PBA,COMMUNITY_FBA,COMMUNITY_ND,COMMUNITY_PBD,COMMUNITY_FBD,INSTITUTIONAL
F0_34," Female 0-34",,,,0.244,0.344,0.318,1.031
F35_44," Female 35-44",,,,0.303,0.383,0.306,0.999
F45_54," Female 45-54",,,,0.322,0.374,0.338,1.007
F55_59," Female 55-59",,,,0.35,0.371,0.388,0.986
F60_64," Female 60-64",,,,0.411,0.395,0.449,1.028
F65_69," Female 65-69",0.312,0.341,0.425,,,,1.2
F70_74," Female 70-74",0.374,0.406,0.511,,,,1.092
F75_79," Female 75-79",0.448,0.484,0.611,,,,0.995
F80_84," Female 80-84",0.537,0.552,0.739,,,,0.86
F85_89," Female 85-89",0.664,0.678,0.917,,,,0.749
F90_94," Female 90-94",0.797,0.817,1.037,,,,0.626
F95_GT," Female 95+",0.816,0.913,1.094,,,,0.456
M0_34," Male 0-34",,,,0.155,0.33,0.225,1.049
M35_44," Male 35-44",,,,0.19,0.267,0.204,1.074
M45_54," Male 45-54",,,,0.221,0.3,0.281,1.008
M55_59," Male 55-59",,,,0.271,0.307,0.372,1.055
M60_64," Male 60-64",,,,0.303,0.343,0.486,1.039
M65_69," Male 65-69",0.3,0.334,0.492,,,,1.269
M70_74," Male 70-74",0.379,0.409,0.582,,,,1.323
M75_79," Male 75-79",0.466,0.491,0.692,,,,1.331
M80_84," Male 80-84",0.561,0.546,0.816,,,,1.189
M85_89," Male 85-89",0.694,0.679,1.009,,,,1.129
M90_94," Male 90-94",0.857,0.822,1.186,,,,0.964
M95_GT," Male 95+",0.976,1.038,1.268,,,,0.781
OriginallyDisabled_Female," Originally Disabled Female",0.244,0.126,0.172,,,,
OriginallyDisabled_Male," Originally Disabled Male",0.152,0.105,0.192,,,,
ORIGDIS,Originally Disabled,,,,,,,0
LTIMCAID,LTI Medicaid months,,,,,,,0.062
HCC1," HIV/AIDS",0.312,0.55,0.585,0.288,0.232,0.5,1.747
HCC2," Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock",0.455,0.409,0.596,0.532,0.417,0.811,0.346
HCC6," Opportunistic Infections",0.435,0.482,0.548,0.704,0.765,0.919,0.58
HCC8," Metastatic Cancer and Acute Leukemia",2.625,2.442,2.542,2.644,2.582,2.767,1.143
HCC9," Lung and Other Severe Cancers",0.97,0.955,0.973,0.927,0.879,1.025,0.727
HCC10," Lymphoma and Other Cancers",0.677,0.667,0.713,0.656,0.577,0.761,0.401
HCC11," Colorectal/Bladder/and Other Cancers",0.301,0.325,0.332,0.352,0.4,0.361,0.293
HCC12," Breast/Prostate/and Other Cancers and Tumors",0.146,0.152,0.159,0.202,0.182,0.19,0.199
HCC17," Diabetes with Acute Complications",0.318,0.354,0.346,0.371,0.423,0.431,0.441
HCC18," Diabetes with Chronic Complications",0.318,0.354,0.346,0.371,0.423,0.431,0.441
