ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
A0104,92.0,,,
A0105,92.0,,,
A021,2.0,,,
A0223,92.0,,,
A0224,92.0,,,
A065,283.0,,,
A072,6.0,,,
A207,2.0,,,
A227,2.0,,,
A267,2.0,,,
A310,6.0,,,
A312,6.0,,,
A327,2.0,,,
A3681,227.0,,,
A392,2.0,,,
A393,2.0,,,
A394,2.0,,,
A3983,92.0,,,
A3984,92.0,,,
A400,2.0,,,
A401,2.0,,,
A403,2.0,,,
A408,2.0,,,
A409,2.0,,,
A4101,2.0,,,
A4102,2.0,,,
A411,2.0,,,
A412,2.0,,,
A413,2.0,,,
A414,2.0,,,
A4150,2.0,,,
A4151,2.0,,,
A4152,2.0,,,
A4153,2.0,,,
A4154,2.0,,,
A4159,2.0,,,
A4181,2.0,,,
A4189,2.0,,,
A419,2.0,,,
A427,2.0,,,
A480,263.0,,,
A481,282.0,,,
A483,2.0,,,
A5055,92.0,,,
A5440,92.0,,,
A5441,92.0,,,
A5442,92.0,,,
A5443,92.0,,,
A5449,92.0,,,
A5485,78.0,,,
A5486,2.0,,,
A666,92.0,,,
A6923,92.0,,,
A8100,127.0,,,
A8101,127.0,,,
A8109,127.0,,,
A811,127.0,,,
A812,127.0,,,
A8181,127.0,,,
A8182,127.0,,,
A8183,127.0,,,
A8189,127.0,,,
A819,127.0,,,
B007,2.0,,,
B0082,182.0,,,
B0112,182.0,,,
B0224,182.0,,,
B0682,92.0,,,
B180,65.0,,,
B181,65.0,,,
B182,65.0,,,
B188,65.0,,,
B189,65.0,,,
B20,1.0,,,
B250,6.0,,,
B251,6.0,,,
B252,6.0,,,
B258,6.0,,,
B259,6.0,,,
B2685,92.0,,,
B3324,227.0,,,
B371,6.0,,,
B377,2.0,,,
B377,6.0,,,
B3781,6.0,,,
B4282,92.0,,,
B440,6.0,,,
B441,6.0,,,
B442,6.0,,,
B447,6.0,,,
B4481,280.0,,,
B4489,6.0,,,
B449,6.0,,,
B450,6.0,,,
B451,6.0,,,
B452,6.0,,,
B453,6.0,,,
B457,6.0,,,
B458,6.0,,,
B459,6.0,,,
B460,6.0,,,
B461,6.0,,,
B462,6.0,,,
B463,6.0,,,
B464,6.0,,,
B465,6.0,,,
B468,6.0,,,
B469,6.0,,,
B484,6.0,,,
B488,6.0,,,
B582,6.0,,,
B583,6.0,,,
B59,6.0,,,
B9735,1.0,,,
C01,21.0,,,
C020,21.0,,,
C021,21.0,,,
C022,21.0,,,
C023,21.0,,,
C024,21.0,,,
C028,21.0,,,
C029,21.0,,,
C030,21.0,,,
C031,21.0,,,
C039,21.0,,,
C040,21.0,,,
C041,21.0,,,
C048,21.0,,,
C049,21.0,,,
C050,21.0,,,
C051,21.0,,,
C052,21.0,,,
C058,21.0,,,
C059,21.0,,,
C060,21.0,,,
C061,21.0,,,
C062,21.0,,,
C0680,21.0,,,
C0689,21.0,,,
C069,21.0,,,
C07,21.0,,,
C080,21.0,,,
C081,21.0,,,
C089,21.0,,,
C090,21.0,,,
C091,21.0,,,
C098,21.0,,,
C099,21.0,,,
C100,21.0,,,
C101,21.0,,,
C102,21.0,,,
C103,21.0,,,
C104,21.0,,,
C108,21.0,,,
C109,21.0,,,
C110,21.0,,,
C111,21.0,,,
C112,21.0,,,
C113,21.0,,,
C118,21.0,,,
C119,21.0,,,
C12,21.0,,,
C130,21.0,,,
C131,21.0,,,
C132,21.0,,,
C138,21.0,,,
C139,21.0,,,
C140,21.0,,,
C142,21.0,,,
C148,21.0,,,
C153,20.0,,,
C154,20.0,,,
C155,20.0,,,
C158,20.0,,,
C159,20.0,,,
C160,20.0,,,
C161,20.0,,,
C162,20.0,,,
C163,20.0,,,
C164,20.0,,,
C165,20.0,,,
C166,20.0,,,
C168,20.0,,,
C169,20.0,,,
C170,20.0,,,
C171,20.0,,,
C172,20.0,,,
C173,20.0,,,
C178,20.0,,,
C179,20.0,,,
C180,22.0,,,
C181,22.0,,,
C182,22.0,,,
C183,22.0,,,
C184,22.0,,,
C185,22.0,,,
C186,22.0,,,
C187,22.0,,,
C188,22.0,,,
C189,22.0,,,
C19,22.0,,,
C20,22.0,,,
C210,22.0,,,
C211,22.0,,,
C212,22.0,,,
C218,22.0,,,
C220,20.0,,,
C221,20.0,,,
C222,20.0,,,
C223,20.0,,,
C224,20.0,,,
C227,20.0,,,
C228,20.0,,,
C229,20.0,,,
C23,20.0,,,
C240,20.0,,,
C241,20.0,,,
C248,20.0,,,
C249,20.0,,,
C250,20.0,,,
C251,20.0,,,
C252,20.0,,,
C253,20.0,,,
C254,20.0,,,
C257,20.0,,,
C258,20.0,,,
C259,20.0,,,
C260,22.0,,,
C261,22.0,,,
C269,22.0,,,
C300,21.0,,,
C301,21.0,,,
C310,21.0,,,
C311,21.0,,,
C312,21.0,,,
C313,21.0,,,
C318,21.0,,,
C319,21.0,,,
C320,21.0,,,
C321,21.0,,,
C322,21.0,,,
C323,21.0,,,
C328,21.0,,,
C329,21.0,,,
C33,20.0,,,
C3400,20.0,,,
C3401,20.0,,,
C3402,20.0,,,
C3410,20.0,,,
C3411,20.0,,,
C3412,20.0,,,
C342,20.0,,,
C3430,20.0,,,
C3431,20.0,,,
C3432,20.0,,,
C3480,20.0,,,
C3481,20.0,,,
C3482,20.0,,,
C3490,20.0,,,
C3491,20.0,,,
C3492,20.0,,,
C37,21.0,,,
C380,20.0,,,
C381,21.0,,,
C382,21.0,,,
C383,21.0,,,
C384,20.0,,,
C388,21.0,,,
C390,21.0,,,
C399,21.0,,,
C4000,21.0,,,
C4001,21.0,,,
C4002,21.0,,,
C4010,21.0,,,
C4011,21.0,,,
C4012,21.0,,,
C4020,21.0,,,
C4021,21.0,,,
C4022,21.0,,,
C4030,21.0,,,
C4031,21.0,,,
C4032,21.0,,,
