ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
A0103,115.0,,,
A0104,39.0,,,
A0105,39.0,,,
A021,2.0,,,
A0222,115.0,,,
A0223,39.0,,,
A0224,39.0,,,
A065,115.0,,,
A072,6.0,,,
A202,115.0,,,
A207,2.0,,,
A212,115.0,,,
A221,115.0,,,
A227,2.0,,,
A267,2.0,,,
A310,6.0,,,
A312,6.0,,,
A327,2.0,,,
A3681,85.0,,,
A391,23.0,,,
A392,2.0,,,
A393,2.0,,,
A394,2.0,,,
A3983,39.0,,,
A3984,39.0,,,
A400,2.0,,,
A401,2.0,,,
A403,2.0,,,
A408,2.0,,,
A409,2.0,,,
A4101,2.0,,,
A4102,2.0,,,
A411,2.0,,,
A412,2.0,,,
A413,2.0,,,
A414,2.0,,,
A4150,2.0,,,
A4151,2.0,,,
A4152,2.0,,,
A4153,2.0,,,
A4154,2.0,,,
A4159,2.0,,,
A4181,2.0,,,
A4189,2.0,,,
A419,2.0,,,
A420,115.0,,,
A427,2.0,,,
A430,115.0,,,
A480,106.0,,,
A481,114.0,,,
A483,2.0,,,
A5055,39.0,,,
A5440,39.0,,,
A5441,39.0,,,
A5442,39.0,,,
A5443,39.0,,,
A5449,39.0,,,
A5484,115.0,,,
A5485,33.0,,,
A5486,2.0,,,
A666,39.0,,,
A6923,39.0,,,
A8100,52.0,,,
A8101,52.0,,,
A8109,52.0,,,
A811,52.0,,,
A812,52.0,,,
A8181,52.0,,,
A8182,52.0,,,
A8183,52.0,,,
A8189,52.0,,,
A819,52.0,,,
B007,2.0,,,
B0082,72.0,,,
B0112,72.0,,,
B0224,72.0,,,
B0682,39.0,,,
B180,29.0,,,
B181,29.0,,,
B182,29.0,,,
B188,29.0,,,
B189,29.0,,,
B20,1.0,,,
B250,6.0,,,
B251,6.0,,,
B252,6.0,,,
B258,6.0,,,
B259,6.0,,,
B2685,39.0,,,
B3324,85.0,,,
B371,6.0,,,
B377,2.0,,,
B377,6.0,,,
B3781,6.0,,,
B380,115.0,,,
B381,115.0,,,
B382,115.0,,,
B390,115.0,,,
B391,115.0,,,
B392,115.0,,,
B400,115.0,,,
B401,115.0,,,
B402,115.0,,,
B410,115.0,,,
B4282,39.0,,,
B440,6.0,,,
B441,6.0,,,
B442,6.0,,,
B447,6.0,,,
B4481,112.0,,,
B4489,6.0,,,
B449,6.0,,,
B450,6.0,,,
B451,6.0,,,
B452,6.0,,,
B453,6.0,,,
B457,6.0,,,
B458,6.0,,,
B459,6.0,,,
B460,6.0,,,
B461,6.0,,,
B462,6.0,,,
B463,6.0,,,
B464,6.0,,,
B465,6.0,,,
B468,6.0,,,
B469,6.0,,,
B484,6.0,,,
B488,6.0,,,
B582,6.0,,,
B583,6.0,,,
B59,6.0,,,
B664,115.0,,,
B671,115.0,,,
B9735,1.0,,,
C01,11.0,,,
C020,11.0,,,
C021,11.0,,,
C022,11.0,,,
C023,11.0,,,
C024,11.0,,,
C028,11.0,,,
C029,11.0,,,
C030,11.0,,,
C031,11.0,,,
C039,11.0,,,
C040,11.0,,,
C041,11.0,,,
C048,11.0,,,
C049,11.0,,,
C050,11.0,,,
C051,11.0,,,
C052,11.0,,,
C058,11.0,,,
C059,11.0,,,
C060,11.0,,,
C061,11.0,,,
C062,11.0,,,
C0680,11.0,,,
