Variable,Label,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST
F0_34, Female 0-34,0.644,,0.198,,0.308,1.174
F35_44, Female 35-44,0.63,,0.25,,0.291,0.995
F45_54, Female 45-54,0.564,,0.292,,0.328,1.199
F55_59, Female 55-59,0.57,,0.329,,0.349,1.129
F60_64, Female 60-64,0.569,,0.373,,0.423,1.067
F65_69, Female 65-69,0.63,0.301,,0.402,,1.273
F70_74, Female 70-74,0.624,0.359,,0.464,,1.202
F75_79, Female 75-79,0.617,0.42,,0.545,,1.046
F80_84, Female 80-84,0.661,0.474,,0.608,,0.935
F85_89, Female 85-89,0.629,0.57,,0.714,,0.822
F90_94, Female 90-94,0.629,0.678,,0.803,,0.7
F95_GT, Female 95+,0.629,0.686,,0.804,,0.56
M0_34, Male 0-34,0.616,,0.102,,0.187,1.043
M35_44, Male 35-44,0.604,,0.155,,0.2,0.893
M45_54, Male 45-54,0.551,,0.197,,0.257,1.148
M55_59, Male 55-59,0.557,,0.249,,0.35,1.143
M60_64, Male 60-64,0.569,,0.298,,0.425,1.074
M65_69, Male 65-69,0.577,0.303,,0.486,,1.323
M70_74, Male 70-74,0.551,0.358,,0.57,,1.265
M75_79, Male 75-79,0.601,0.451,,0.646,,1.353
M80_84, Male 80-84,0.635,0.512,,0.714,,1.268
M85_89, Male 85-89,0.635,0.599,,0.825,,1.157
M90_94, Male 90-94,0.635,0.73,,0.906,,0.973
M95_GT, Male 95+,0.635,0.825,,0.965,,0.854
ORIGDIS, Originally Disabled,,,,,,0
OriginallyDisabled_Female, Originally Disabled Female,0.024,0.219,,0.143,,
OriginallyDisabled_Male, Originally Disabled Male,0,0.125,,0.136,,
Originally_ESRD_Female , Originally ESRD Female,-0.024,,,,,
Originally_ESRD_Male , Originally ESRD Male,0.017,,,,,
LTI_Aged , Institutional/Aged,0.02,,,,,
LTI_NonAged , Institutional/NonAged,0.098,,,,,
FBDual_Female_Aged, Full Benefit Dual Female Aged,0.06,,,,,
FBDual_Female_NonAged, Full Benefit Dual Female NonAged,0.082,,,,,
FBDual_Male_Aged, Full Benefit Dual Male Aged,0.128,,,,,
FBDual_Male_NonAged, Full Benefit Dual Male NonAged,0.076,,,,,
PBDual_Female_Aged, Partial Benefit Dual Female Aged,0,,,,,
PBDual_Female_NonAged, Partial Benefit Dual Female NonAged,0,,,,,
PBDual_Male_Aged, Partial Benefit Dual Male Aged,0,,,,,
PBDual_Male_NonAged, Partial Benefit Dual Male NonAged,0,,,,,
HCC1, HIV/AIDS,0.122,0.292,0.331,0.381,0.319,1.302
HCC2, Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock,0.087,0.324,0.411,0.396,0.532,0.27
HCC6, Opportunistic Infections,0.076,0.364,0.688,0.53,0.782,0.571
HCC8, Metastatic Cancer and Acute Leukemia,0.353,3.057,3.058,2.932,3.226,1.571
HCC9, Lung and Other Severe Cancers,0.181,1.226,1.075,1.179,1.089,0.77
HCC10, Lymphoma and Other Cancers,0.111,0.608,0.595,0.628,0.78,0.467
HCC11, Colorectal/Bladder/and Other Cancers,0.059,0.312,0.257,0.325,0.362,0.346
HCC12, Breast/Prostate/and Other Cancers and Tumors,0.045,0.162,0.189,0.17,0.182,0.219
HCC17, Diabetes with Acute Complications,0.084,0.219,0.241,0.233,0.296,0.359
HCC18, Diabetes with Chronic Complications,0.084,0.219,0.241,0.233,0.296,0.359
HCC19, Diabetes without Complication,0.084,0.073,0.083,0.051,0.102,0.128
HCC21, Protein-Calorie Malnutrition,0.068,0.549,0.87,0.712,0.963,0.326
HCC22, Morbid Obesity,0.081,0.171,0.141,0.292,0.192,0.435
HCC23, Other Significant Endocrine and Metabolic Disorders,0.036,0.217,0.39,0.246,0.317,0.332
HCC27, End-Stage Liver Disease,0.196,0.886,0.92,0.985,1.149,0.764
HCC28, Cirrhosis of Liver,0.069,0.34,0.342,0.414,0.387,0.327
HCC29, Chronic Hepatitis,0.061,0.146,0.342,0.059,0.292,0.327
HCC33, Intestinal Obstruction/Perforation,0.078,0.25,0.474,0.254,0.458,0.278
HCC34, Chronic Pancreatitis,0.068,0.318,0.543,0.419,0.721,0.178
HCC35, Inflammatory Bowel Disease,0.048,0.35,0.469,0.286,0.503,0.287
HCC39, Bone/Joint/Muscle Infections/Necrosis,0.092,0.431,0.44,0.578,0.537,0.434
HCC40, Rheumatoid Arthritis and Inflammatory Connective Tissue Disease,0.058,0.414,0.353,0.313,0.299,0.284
HCC46, Severe Hematological Disorders,0.223,1.346,4.064,1.361,3.98,0.748
HCC47, Disorders of Immunity,0.078,0.64,0.803,0.539,0.656,0.523
HCC48, Coagulation Defects and Other Specified Hematological Disorders,0.063,0.192,0.319,0.24,0.358,0.226
HCC51, Dementia With Complications,0.042,0.314,0.282,0.399,0.348,0
HCC52, Dementia Without Complication,0.042,0.314,0.282,0.399,0.348,0
HCC54, Substance Use with Psychotic Complications,0.111,0.274,0.521,0.416,1.071,0.172
HCC55, Substance Use Disorder/Moderate/Severe/Substance Use with Complications,0.111,0.274,0.256,0.416,0.355,0.172
HCC56, Substance Use Disorder/Mild/Except Alcohol and Cannabis,0.111,0.274,0.169,0.416,0.267,0.172
HCC57, Schizophrenia,0.111,0.507,0.372,0.572,0.398,0.23
HCC58, Reactive and Unspecified Psychosis,0.111,0.507,0.295,0.572,0.145,0.23
HCC59, Major Depressive/Bipolar/and Paranoid Disorders,0.066,0.225,0.145,0.259,0.129,0.133
HCC60, Personality Disorders,0.066,0.225,0.145,0.131,0.047,0
HCC70, Quadriplegia,0.185,1.126,0.906,0.964,0.892,0.645
HCC71, Paraplegia,0.151,0.925,0.605,0.786,0.76,0.511
HCC72, Spinal Cord Disorders/Injuries,0.099,0.495,0.456,0.523,0.431,0.222
HCC73, Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,0.213,1.256,1.4,1.57,1.644,0.739
HCC74, Cerebral Palsy,0.057,0.226,0.094,0,0,0
HCC75, Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,0.074,0.573,0.599,0.43,0.493,0.344
HCC76, Muscular Dystrophy,0.136,0.471,0.745,0.381,0.842,0.322
HCC77, Multiple Sclerosis,0.111,0.621,0.876,0.749,1.113,0.042
HCC78, Parkinsons and Huntingtons Diseases,0.079,0.588,0.457,0.608,0.442,0.206
HCC79, Seizure Disorders and Convulsions,0.053,0.249,0.195,0.223,0.167,0.07
HCC80, Coma/Brain Compression/Anoxic Damage,0.076,0.542,0.277,0.679,0.289,0.063
HCC82, Respirator Dependence/Tracheostomy Status,0.161,0.83,0.946,1.874,1.476,1.449
HCC83, Respiratory Arrest,0.112,0.449,0.496,0.843,0.613,0.481
HCC84, Cardio-Respiratory Failure and Shock,0.061,0.293,0.496,0.45,0.613,0.199
HCC85, Congestive Heart Failure,0.063,0.251,0.273,0.257,0.302,0.169
