ICD10,CC,MCE_AGE_CONDITION
A072,5.0,
A310,5.0,
A312,5.0,
A3681,186.0,
A391,43.0,
A8100,112.0,
A8101,112.0,
A8109,112.0,
A811,112.0,
A812,112.0,
A8181,112.0,
A8182,112.0,
A8183,112.0,
A8189,112.0,
A819,112.0,
B0082,155.0,
B0112,155.0,
B0221,168.0,
B0222,168.0,
B0223,168.0,
B0224,155.0,
B0229,168.0,
B1710,55.0,
B1711,55.0,
B180,56.0,
B181,56.0,
B182,54.0,
B188,56.0,
B1920,55.0,
B1921,55.0,
B20,1.0,
B250,5.0,
B251,5.0,
B252,5.0,
B258,5.0,
B259,5.0,
B3324,186.0,
B371,5.0,
B377,5.0,
B3781,5.0,
B440,5.0,
B441,5.0,
B442,5.0,
B447,5.0,
B4481,227.0,
B4489,5.0,
B449,5.0,
B450,5.0,
B451,5.0,
B452,5.0,
B453,5.0,
B457,5.0,
B458,5.0,
B459,5.0,
B460,5.0,
B461,5.0,
B462,5.0,
B463,5.0,
B464,5.0,
B465,5.0,
B468,5.0,
B469,5.0,
B484,5.0,
B488,5.0,
B582,5.0,
B583,5.0,
B59,5.0,
B9735,1.0,
C01,22.0,
C020,22.0,
C021,22.0,
C022,22.0,
C023,22.0,
C024,22.0,
C028,22.0,
C029,22.0,
C030,22.0,
C031,22.0,
C039,22.0,
C040,22.0,
C041,22.0,
C048,22.0,
C049,22.0,
C050,22.0,
C051,22.0,
C052,22.0,
C058,22.0,
C059,22.0,
C060,22.0,
C061,22.0,
C062,22.0,
C0680,22.0,
C0689,22.0,
C069,22.0,
C07,22.0,
C080,22.0,
C081,22.0,
C089,22.0,
C160,22.0,
C161,22.0,
C162,22.0,
C163,22.0,
C164,22.0,
C165,22.0,
C166,22.0,
C168,22.0,
C169,22.0,
C170,22.0,
C171,22.0,
C172,22.0,
C173,22.0,
C178,22.0,
C179,22.0,
C220,20.0,
C221,20.0,
C222,20.0,
C223,20.0,
C224,20.0,
C227,20.0,
C228,20.0,
C229,20.0,
C23,22.0,
C240,22.0,
C241,22.0,
C248,22.0,
C249,22.0,
C250,20.0,
C251,20.0,
C252,20.0,
C253,20.0,
C254,20.0,
C257,20.0,
C258,20.0,
C259,20.0,
C300,22.0,
C301,22.0,
C310,22.0,
C311,22.0,
C312,22.0,
C313,22.0,
C318,22.0,
C319,22.0,
C33,20.0,
C3400,20.0,
C3401,20.0,
C3402,20.0,
C3410,20.0,
C3411,20.0,
C3412,20.0,
C342,20.0,
C3430,20.0,
C3431,20.0,
C3432,20.0,
C3480,20.0,
C3481,20.0,
C3482,20.0,
C3490,20.0,
C3491,20.0,
C3492,20.0,
C37,22.0,
C380,20.0,
C381,22.0,
C382,22.0,
C383,22.0,
C384,20.0,
C388,22.0,
C390,22.0,
C399,22.0,
C4000,22.0,
C4001,22.0,
C4002,22.0,
C4010,22.0,
C4011,22.0,
C4012,22.0,
C4020,22.0,
C4021,22.0,
C4022,22.0,
C4030,22.0,
C4031,22.0,
C4032,22.0,
C4080,22.0,
C4081,22.0,
C4082,22.0,
C4090,22.0,
C4091,22.0,
C4092,22.0,
C410,22.0,
C411,22.0,
C412,22.0,
C413,22.0,
C414,22.0,
C419,22.0,
C430,22.0,
C4310,22.0,
C43111,22.0,
C43112,22.0,
C43121,22.0,
C43122,22.0,
C4320,22.0,
C4321,22.0,
C4322,22.0,
C4330,22.0,
C4331,22.0,
C4339,22.0,
C434,22.0,
C4351,22.0,
C4352,22.0,
C4359,22.0,
C4360,22.0,
C4361,22.0,
C4362,22.0,
C4370,22.0,
C4371,22.0,
C4372,22.0,
C438,22.0,
C439,22.0,
C450,22.0,
C451,22.0,
C452,22.0,
C457,22.0,
C459,22.0,
C460,20.0,
C461,20.0,
C462,20.0,
C463,20.0,
C464,20.0,
C4650,20.0,
C4651,20.0,
C4652,20.0,
C467,20.0,
C469,20.0,
C470,22.0,
C4710,22.0,
C4711,22.0,
C4712,22.0,
C4720,22.0,
C4721,22.0,
C4722,22.0,
C473,22.0,
C474,20.0,
C475,22.0,
C476,22.0,
C478,22.0,
C479,22.0,
C480,22.0,
C481,22.0,
C482,22.0,
C488,22.0,
C490,22.0,
C4910,22.0,
C4911,22.0,
C4912,22.0,
C4920,22.0,
C4921,22.0,
C4922,22.0,
C493,22.0,
C494,20.0,
C495,22.0,
C496,22.0,
C498,22.0,
C499,22.0,
C49A0,20.0,
C49A1,20.0,
C49A2,20.0,
C49A3,20.0,
C49A4,20.0,
C49A5,20.0,
C49A9,20.0,
C4A0,22.0,
C4A10,22.0,
C4A111,22.0,
C4A112,22.0,
C4A121,22.0,
C4A122,22.0,
C4A20,22.0,
C4A21,22.0,
C4A22,22.0,
C4A30,22.0,
C4A31,22.0,
C4A39,22.0,
C4A4,22.0,
C4A51,22.0,
C4A52,22.0,
C4A59,22.0,
C4A60,22.0,
C4A61,22.0,
C4A62,22.0,
C4A70,22.0,
C4A71,22.0,
C4A72,22.0,
C4A8,22.0,
C4A9,22.0,
C50011,22.0,
C50012,22.0,
C50019,22.0,
C50021,22.0,
C50022,22.0,
C50029,22.0,
C50111,22.0,
C50112,22.0,
C50119,22.0,
C50121,22.0,
C50122,22.0,
C50129,22.0,
C50211,22.0,
C50212,22.0,
C50219,22.0,
C50221,22.0,
C50222,22.0,
C50229,22.0,
C50311,22.0,
C50312,22.0,
C50319,22.0,
C50321,22.0,
C50322,22.0,
C50329,22.0,
C50411,22.0,
C50412,22.0,
C50419,22.0,
C50421,22.0,
C50422,22.0,
C50429,22.0,
C50511,22.0,
C50512,22.0,
C50519,22.0,
C50521,22.0,
C50522,22.0,
C50529,22.0,
C50611,22.0,
C50612,22.0,
C50619,22.0,
C50621,22.0,
C50622,22.0,
C50629,22.0,
C50811,22.0,
C50812,22.0,
C50819,22.0,
C50821,22.0,
C50822,22.0,
C50829,22.0,
C50911,22.0,
C50912,22.0,
C50919,22.0,
C50921,22.0,
C50922,22.0,
C50929,22.0,
C50A0,22.0,
C50A1,22.0,
C50A2,22.0,
C561,22.0,
C562,22.0,
C563,22.0,
C569,22.0,
C5700,22.0,
C5701,22.0,
C5702,22.0,
C5710,22.0,
C5711,22.0,
C5712,22.0,
C5720,22.0,
C5721,22.0,
C5722,22.0,
C573,22.0,
C574,22.0,
C58,22.0,9 <= age <= 64
C600,22.0,
C601,22.0,
C602,22.0,
C608,22.0,
C609,22.0,
C61,22.0,
C6200,22.0,
C6201,22.0,
C6202,22.0,
C6210,22.0,
C6211,22.0,
C6212,22.0,
C6290,22.0,
C6291,22.0,
C6292,22.0,
C6300,22.0,
C6301,22.0,
C6302,22.0,
C6310,22.0,
C6311,22.0,
C6312,22.0,
C632,22.0,
C637,22.0,
C638,22.0,
C639,22.0,
C641,20.0,
C642,20.0,
C649,20.0,
C651,20.0,
C652,20.0,
C659,20.0,
C661,22.0,
C662,22.0,
C669,22.0,
C670,22.0,
C671,22.0,
C672,22.0,
C673,22.0,
C674,22.0,
C675,22.0,
C676,22.0,
C677,22.0,
C678,22.0,
C679,22.0,
C680,22.0,
C681,22.0,
C688,22.0,
C689,22.0,
C6900,22.0,
C6901,22.0,
C6902,22.0,
C6910,22.0,
C6911,22.0,
C6912,22.0,
C6920,22.0,
C6921,22.0,
C6922,22.0,
C6930,22.0,
C6931,22.0,
C6932,22.0,
C6940,22.0,
C6941,22.0,
C6942,22.0,
C6950,22.0,
C6951,22.0,
C6952,22.0,
C6960,22.0,
C6961,22.0,
C6962,22.0,
C6980,22.0,
C6981,22.0,
C6982,22.0,
C6990,22.0,
C6991,22.0,
C6992,22.0,
C700,22.0,
C701,22.0,
C709,22.0,
C710,22.0,
C711,22.0,
C712,22.0,
C713,22.0,
C714,22.0,
C715,22.0,
C716,22.0,
C717,22.0,
C718,22.0,
C719,22.0,
C720,22.0,
C721,22.0,
C7220,22.0,
C7221,22.0,
C7222,22.0,
C7230,22.0,
C7231,22.0,
C7232,22.0,
C7240,22.0,
C7241,22.0,
C7242,22.0,
C7250,22.0,
C7259,22.0,
C729,22.0,
C73,22.0,
C7400,22.0,
C7401,22.0,
C7402,22.0,
C7410,22.0,
C7411,22.0,
C7412,22.0,
C7490,22.0,
C7491,22.0,
C7492,22.0,
C750,22.0,
C751,22.0,
C752,22.0,
C753,22.0,
C754,22.0,
C755,22.0,
C758,22.0,
C759,22.0,
C760,22.0,
C761,22.0,
C762,22.0,
C763,22.0,
C7640,22.0,
C7641,22.0,
C7642,22.0,
C7650,22.0,
C7651,22.0,
C7652,22.0,
C768,22.0,
C770,20.0,
C771,20.0,
C772,20.0,
C773,20.0,
C774,20.0,
C775,20.0,
C778,20.0,
C779,20.0,
C7800,18.0,
C7801,18.0,
C7802,18.0,
C781,18.0,
C782,18.0,
C7830,18.0,
C7839,18.0,
C784,20.0,
C785,20.0,
C786,20.0,
C787,18.0,
C7880,18.0,
C7889,18.0,
C7900,17.0,
C7901,17.0,
C7902,17.0,
C7910,18.0,
C7911,18.0,
C7919,18.0,
C792,18.0,
C7931,18.0,
C7932,18.0,
C7940,18.0,
C7949,18.0,
C7951,17.0,
C7952,17.0,
C7960,18.0,
C7961,18.0,
C7962,18.0,
C7963,18.0,
C7970,18.0,
